filename,file type,folder,registration,suggested skill,suggested subfolder,is_zone_identifier
1_Bodyshopreport-V1.pdf,pdf,totalLoss,YJ15POG,total-loss-assessment,totalLoss,0
2507ff6f-d5b9-4e3b-9837-62ca65f91711.pdf,pdf,totalLoss,BH17PYZ,total-loss-assessment,totalLoss,0
26-1755094-Vehicle-Damage-Assessment-Report.pdf,pdf,totalLoss,SA75GZN,total-loss-assessment,totalLoss,0
Addendum Report NC71TWK.pdf,pdf,totalLoss,NC71TWK,total-loss-assessment,totalLoss,0
AK09VRY.pdf,pdf,totalLoss,AK09VRY,total-loss-assessment,totalLoss,0
AL17JAT REPORT.pdf,pdf,totalLoss,AL17JAT,total-loss-assessment,totalLoss,0
AM11LTN.pdf,pdf,totalLoss,AM11LTN,total-loss-assessment,totalLoss,0
AM58JXE CUSTOMERS UPDATED PAV REPORT.pdf,pdf,totalLoss,AM58JXE,total-loss-assessment,totalLoss,0
AM58JXE PAV AUDIT UPDATE.pdf,pdf,totalLoss,AM58JXE,total-loss-assessment,totalLoss,0
AP63EYL REPORT.pdf,pdf,totalLoss,AP63EYL,total-loss-assessment,totalLoss,0
AU62LCG CUSTOMERS PAV.pdf,pdf,totalLoss,AU62LCG,total-loss-assessment,totalLoss,0
AV59TZA.pdf,pdf,totalLoss,AV59TZA,total-loss-assessment,totalLoss,0
bd62cln customers pav.pdf,pdf,totalLoss,BD62CLN,total-loss-assessment,totalLoss,0
BG51EVE...pdf,pdf,totalLoss,BG51EVE,total-loss-assessment,totalLoss,0
BH17MWG...pdf,pdf,totalLoss,BH17MWG,total-loss-assessment,totalLoss,0
BJ63YZS AUDIT PAV.pdf,pdf,totalLoss,BJ63YZS,total-loss-assessment,totalLoss,0
BN68LZT AUDIT REPORT.pdf,pdf,totalLoss,BN68LZT,total-loss-assessment,totalLoss,0
BP15YLB REPORT.pdf,pdf,totalLoss,BP15YLB,total-loss-assessment,totalLoss,0
BT65LCZ PAV TOTAL LOSS.pdf,pdf,totalLoss,BT65LCZ,total-loss-assessment,totalLoss,0
CE59GXP (1).pdf,pdf,totalLoss,CE59GXP,total-loss-assessment,totalLoss,0
CE59GXP....pdf,pdf,totalLoss,CE59GXP,total-loss-assessment,totalLoss,0
CN16FPV.pdf,pdf,totalLoss,CN16FPV,total-loss-assessment,totalLoss,0
CX58UVS REPORT.pdf,pdf,totalLoss,CX58UVS,total-loss-assessment,totalLoss,0
D19KKU PAV UPLIFT.pdf,pdf,totalLoss,D19KKU,total-loss-assessment,totalLoss,0
DE54ZSP...pdf,pdf,totalLoss,DE54ZSP,total-loss-assessment,totalLoss,0
DE58EAW AUDIT PAV.pdf,pdf,totalLoss,DE58EAW,total-loss-assessment,totalLoss,0
DK15VXZ report.pdf,pdf,totalLoss,DK15VXZ,total-loss-assessment,totalLoss,0
DK66LRL.pdf,pdf,totalLoss,DK66LRL,total-loss-assessment,totalLoss,0
DU59JFZ.pdf,pdf,totalLoss,DU59JFZ,total-loss-assessment,totalLoss,0
DV59VGC AUDIT PAV.pdf,pdf,totalLoss,DV59VGC,total-loss-assessment,totalLoss,0
EIG9713 Updated Client Report.pdf,pdf,totalLoss,EIG9713,total-loss-assessment,totalLoss,0
EJ68HMG REPORT.pdf,pdf,totalLoss,EJ68HMG,total-loss-assessment,totalLoss,0
FG15VBA.pdf,pdf,totalLoss,FG15VBA,total-loss-assessment,totalLoss,0
FLO7EOD..pdf,pdf,totalLoss,FL07EOD,total-loss-assessment,totalLoss,0
FT24PUJ CUSTOMERS PAV.pdf,pdf,totalLoss,FT24PUJ,vehicle-valuation,totalLoss,0
FY14UHU CUSTOMERS PAV.pdf,pdf,totalLoss,FY14UHU,total-loss-assessment,totalLoss,0
GGZ1161 PAV UPDATE.pdf,pdf,totalLoss,GGZ1161,vehicle-valuation,totalLoss,0
GJ86CAO.pdf,pdf,totalLoss,GJ86CAO,total-loss-assessment,totalLoss,0
GX18XEB Figs.pdf,pdf,totalLoss,GX18XEB,total-loss-assessment,totalLoss,0
GX18XEB.pdf,pdf,totalLoss,GX18XEB,total-loss-assessment,totalLoss,0
GY14GUF..pdf,pdf,totalLoss,GY14GUF,total-loss-assessment,totalLoss,0
GY61BHP REPORT.pdf,pdf,totalLoss,GY61BHP,total-loss-assessment,totalLoss,0
H8JTM.pdf,pdf,totalLoss,H8JTM,total-loss-assessment,totalLoss,0
HJ02KMF CUSTOMERS PAV.pdf,pdf,totalLoss,HJ02KMF,total-loss-assessment,totalLoss,0
HK10NXF..pdf,pdf,totalLoss,HK10NXF,total-loss-assessment,totalLoss,0
HS19MXT REPORT.pdf,pdf,totalLoss,HS19MXT,total-loss-assessment,totalLoss,0
HW60HDX AUDIT PAV.pdf,pdf,totalLoss,HW60HDX,total-loss-assessment,totalLoss,0
KE65XTX Audit PAV.pdf,pdf,totalLoss,KE65XTX,total-loss-assessment,totalLoss,0
KE65XTX...pdf,pdf,totalLoss,KE65XTX,total-loss-assessment,totalLoss,0
KM52DXU.....pdf,pdf,totalLoss,KM52DXU,total-loss-assessment,totalLoss,0
KN65HVV AUDIT PAV.pdf,pdf,totalLoss,KN65HVV,total-loss-assessment,totalLoss,0
KS08ZHM.pdf,pdf,totalLoss,KS08ZHM,total-loss-assessment,totalLoss,0
KV64DPZ.pdf,pdf,totalLoss,KV64DPZ,total-loss-assessment,totalLoss,0
KW57BKZ CUSTOMERS PAV.pdf,pdf,totalLoss,KW57BKZ,vehicle-valuation,totalLoss,0
KW57BKZ PAV AUDIT TOTAL LOSS.pdf,pdf,totalLoss,KW57BKZ,total-loss-assessment,totalLoss,0
KX08YWL CUSTOMER PAV TOTAL LOSS REPORT.pdf,pdf,totalLoss,KX08YWL,total-loss-assessment,totalLoss,0
LB08FOA REPORT.pdf,pdf,totalLoss,LB08FOA,total-loss-assessment,totalLoss,0
LC17MHY AUDIT PAV.pdf,pdf,totalLoss,LC17MHY,total-loss-assessment,totalLoss,0
LL13FFM.pdf,pdf,totalLoss,LL13FFM,total-loss-assessment,totalLoss,0
LL65WNE CUSTOMERS PAV UPDATE.pdf,pdf,totalLoss,LL65WNE,total-loss-assessment,totalLoss,0
LL65WNE PAV CUSTOMER INCREASE.pdf,pdf,totalLoss,LL65WNE,total-loss-assessment,totalLoss,0
LN65TNO REPORT.pdf,pdf,totalLoss,LN65TNO,total-loss-assessment,totalLoss,0
LR64GVL AUDIT PAV.pdf,pdf,totalLoss,LR64GVL,total-loss-assessment,totalLoss,0
LS21ONN Valuation report (1).pdf,pdf,totalLoss,LS21ONN,vehicle-valuation,totalLoss,0
LV60WVZ CUSTOMERS REPORT.pdf,pdf,totalLoss,LV60WVZ,total-loss-assessment,totalLoss,0
LX58VNW CUSTOMERS PAV.pdf,pdf,totalLoss,LX58VNW,vehicle-valuation,totalLoss,0
MA16LXF REPORT.pdf,pdf,totalLoss,MA16LXF,total-loss-assessment,totalLoss,0
MC65MYZ PAV audit update.pdf,pdf,totalLoss,MC65MYZ,vehicle-valuation,totalLoss,0
MD18CDU.pdf,pdf,totalLoss,MD18CDU,total-loss-assessment,totalLoss,0
ME14NHK.pdf,pdf,totalLoss,ME14NHK,total-loss-assessment,totalLoss,0
MF66EOR....pdf,pdf,totalLoss,MF66EOR,total-loss-assessment,totalLoss,0
MJ71VNK.pdf,pdf,totalLoss,MJ71VNK,total-loss-assessment,totalLoss,0
MK12BJF.pdf,pdf,totalLoss,MK12BJF,total-loss-assessment,totalLoss,0
MK16YLJ..pdf,pdf,totalLoss,MK16YLJ,total-loss-assessment,totalLoss,0
MK59AXY.pdf,pdf,totalLoss,MK59AXY,total-loss-assessment,totalLoss,0
