id,case_id,image_role_code,registration_visible,person_reflection,accepted_for_eva,excluded,exclusion_reason,updated_at
b57f6c82-6a30-48c8-becb-f7adf09b5115,e61b974a-1af4-4537-91d0-0c3a36ab6208,100000003,,f,t,f,,2026-07-07 13:07:35.047205+00
595284ec-865f-4cc3-a92c-9077d36c9963,8ff53cd5-4fcc-4a94-9344-9f48ffdc264a,100000003,,f,t,f,,2026-07-07 08:22:55.918485+00
d7f96499-4e0a-40d0-bff9-a3bb65d4661f,8ff53cd5-4fcc-4a94-9344-9f48ffdc264a,100000003,,f,t,f,,2026-07-07 08:22:56.710197+00
dd7cae97-3339-4201-92b4-87814f415def,9d85a360-1798-4629-80e4-8212cebe2a92,100000003,,f,t,f,,2026-07-07 11:39:07.309442+00
96610808-2c60-4b7e-9778-1ca85738ad7b,9d85a360-1798-4629-80e4-8212cebe2a92,100000003,,f,t,f,,2026-07-07 11:39:09.069171+00
697cc0ed-7702-481c-931e-2f7d91a2ebc0,748e17f1-bf91-48ed-a9b2-8b4422fde470,100000003,,f,t,f,,2026-07-07 12:34:58.940738+00
9f8a136d-c31a-4bc1-97ae-0e98c13bb87b,748e17f1-bf91-48ed-a9b2-8b4422fde470,100000001,f,f,f,t,person reflection detected (auto-classified),2026-07-08 03:00:11.072414+00
c98b2874-c1d1-4233-bec3-b8c90f855efc,e61b974a-1af4-4537-91d0-0c3a36ab6208,100000000,t,f,f,t,person reflection detected (auto-classified),2026-07-08 03:00:12.673082+00
f9982360-5ff5-467a-9a4d-7f4d3837466c,97087d47-422b-4a16-875f-fc7ebf71e801,100000003,f,f,f,t,Non-vehicle image (letterhead/signature furniture) — TKT-089 audit cleanup 2026-07-09,2026-07-09 05:50:06.947473+00
e1861d71-3764-40a0-98bb-17e865868468,e3f8b598-0ea0-4c22-95da-7d91ad4fa947,100000001,f,f,t,f,,2026-07-09 03:00:04.962307+00
281acd30-acf8-43c8-8ecf-36906acae148,05e5704e-ae79-4067-ac99-a265330c2be0,100000001,f,f,f,t,person reflection detected (auto-classified),2026-07-09 03:00:06.54318+00
289dbdfc-d1d9-4f43-8de8-1ed45c5d5cfc,05e5704e-ae79-4067-ac99-a265330c2be0,100000002,f,f,f,t,person reflection detected (auto-classified),2026-07-09 03:00:06.603822+00
1f5f3b44-3f8b-4fea-bc8e-a10e0997a606,c022cec2-fade-4152-9e3a-2dd09e161a06,100000003,,f,t,f,,2026-07-07 13:52:10.44406+00
29478e52-b26a-4108-a4d9-32b1a6355882,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:00.587842+00
d0a2fddc-e989-4b4e-8f29-d0b981c67f3f,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:02.973293+00
2498676c-cf1a-47b7-81ea-bdedb56772e3,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:02.977966+00
6a32e156-08c9-4b8a-87c2-65d82fe3073f,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:02.981578+00
19680985-a0b7-4172-b248-76d4b73d7500,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:02.985435+00
8a6941aa-96fa-4a33-847c-c984fb119f80,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:02.990179+00
433c5804-c749-4f90-8539-074e25971843,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:02.993905+00
ecc6a7b1-d079-4a5a-8538-c510147a0cdc,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:02.997429+00
5a47901f-c917-4a82-9661-c4c311f60f54,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.001143+00
65baf01c-b64e-455d-b00c-a3e85cf64f25,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.005355+00
f050df69-09d0-422d-8a7b-eb0f08cc196c,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.008986+00
73d90933-464f-42ef-9813-5023418794cf,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.013041+00
7d513ca6-d550-4aa7-ab62-86da6eeba0b5,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.016845+00
bdeb36b2-b06c-4e81-b7c2-379766551dc4,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.021348+00
0b2e922d-bb82-4f0e-a7df-1dfdaa0d5eb7,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,t,Non-vehicle image (letterhead/signature furniture) — TKT-089 audit cleanup 2026-07-09,2026-07-09 05:50:06.947473+00
304c9f1c-82f5-4785-8020-c03f0029894a,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.026753+00
28bb35ab-ae84-4e7e-92b1-67bd1b8442a7,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.031363+00
d3109474-e408-4bff-adbe-a499c2814bf5,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.034916+00
c8a1645c-b9a4-49c2-bcdf-356311667354,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.038984+00
c274c78f-6d67-4f74-a050-efdd75ef9d03,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.043939+00
6cba807f-51cd-4347-987f-87beae18a981,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.047715+00
6730deb2-7860-41de-bbe0-8fb28cfbe434,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.051994+00
60db719d-7f1f-4816-92ec-67ae3acf84e4,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.056359+00
2972e5be-9c42-43f5-8f96-4e862ebf5eb7,808d409e-3227-435d-ba28-e9f605140d29,100000003,,f,f,f,,2026-07-06 12:14:03.060095+00
