id,file_name,case_id,kind_code,image_role_code,registration_visible,accepted_for_eva,excluded,exclusion_reason,sequence_index,sha256,content_type,size_bytes,storage_path,source_message_id,source_label,box_file_id,box_file_url,created_at,updated_at,person_reflection,reflection_dismissed
e7b52e53-b854-4599-bf37-7a0df5034787,message.eml,0030d528-a3c7-42d2-ba54-a3a8ec244c40,100000003,100000003,,t,f,,,,message/rfc822,204935,AAMkADA2ZDk3OWIwLTBmYzItNGZmZS04ZDg1LWI2MTkyNGU2YTU0MABGAAAAAAAMkWLYDoO4TZJNg5kN5lZNBwDui8m4J_0AR7UG5LtWTQ4wAAAAAAEMAADui8m4J_0AR7UG5LtWTQ4wAANnAvSvAAA_/message.eml,,auto-intake,,,2026-07-03 13:33:18.79679+00,2026-07-03 13:33:18.79679+00,f,f
e53a812e-df17-4b53-9b93-a5142305a67b,SC332-1i26070313020.pdf,0030d528-a3c7-42d2-ba54-a3a8ec244c40,100000002,100000003,,t,f,,,,application/pdf,119584,AAMkADA2ZDk3OWIwLTBmYzItNGZmZS04ZDg1LWI2MTkyNGU2YTU0MABGAAAAAAAMkWLYDoO4TZJNg5kN5lZNBwDui8m4J_0AR7UG5LtWTQ4wAAAAAAEMAADui8m4J_0AR7UG5LtWTQ4wAANnAvSvAAA_/SC332-1i26070313020.pdf,,auto-intake,,,2026-07-03 13:33:18.790975+00,2026-07-03 13:33:18.790975+00,f,f
b0937e71-2d00-4e3b-a459-254fb1c828fd,576174.pdf,04596be5-9613-46f3-ba27-07db40bd14a9,100000002,100000003,,t,f,,,,application/pdf,6185126,AAMkADM1YTE5NjY1LTFjMzUtNGRhOS05OWRiLWIxYzE4ZDgwYWRmZABGAAAAAABSUveaU7T_RbG2t5SsP_BPBwA7a94h2tqrRqU-oCTJH0ECAAAAAAEMAAA7a94h2tqrRqU-oCTJH0ECAANocrnTAAA_/576174.pdf,,auto-intake,,,2026-06-30 14:27:33.090433+00,2026-06-30 14:27:33.090433+00,f,f
d47409f2-a49f-41f8-bd43-e4ae2e489a43,_EHR101632_Plus_.pdf,04596be5-9613-46f3-ba27-07db40bd14a9,100000002,100000003,,t,f,,,,application/pdf,74642,AAMkADM1YTE5NjY1LTFjMzUtNGRhOS05OWRiLWIxYzE4ZDgwYWRmZABGAAAAAABSUveaU7T_RbG2t5SsP_BPBwA7a94h2tqrRqU-oCTJH0ECAAAAAAEMAAA7a94h2tqrRqU-oCTJH0ECAANocrnTAAA_/_EHR101632_Plus_.pdf,,auto-intake,,,2026-06-30 14:27:33.086096+00,2026-06-30 14:27:33.086096+00,f,f
ff56342f-532c-4843-a1b6-aa7019f8142c,_EHR101632_Plus_Report_.pdf,04596be5-9613-46f3-ba27-07db40bd14a9,100000002,100000003,,t,f,,,,application/pdf,238912,AAMkADM1YTE5NjY1LTFjMzUtNGRhOS05OWRiLWIxYzE4ZDgwYWRmZABGAAAAAABSUveaU7T_RbG2t5SsP_BPBwA7a94h2tqrRqU-oCTJH0ECAAAAAAEMAAA7a94h2tqrRqU-oCTJH0ECAANocrnTAAA_/_EHR101632_Plus_Report_.pdf,,auto-intake,,,2026-06-30 14:27:33.079658+00,2026-06-30 14:27:33.079658+00,f,f
037c1f0c-2c7f-4b0f-9130-84b705effbfe,Inspection Request - Audit Report.DOC,04596be5-9613-46f3-ba27-07db40bd14a9,100000002,100000003,,t,f,,,,application/msword,42496,AAMkADM1YTE5NjY1LTFjMzUtNGRhOS05OWRiLWIxYzE4ZDgwYWRmZABGAAAAAABSUveaU7T_RbG2t5SsP_BPBwA7a94h2tqrRqU-oCTJH0ECAAAAAAEMAAA7a94h2tqrRqU-oCTJH0ECAANocrnTAAA_/Inspection_Request_-_Audit_Report.DOC,,auto-intake,,,2026-06-30 14:27:33.07358+00,2026-06-30 14:27:33.07358+00,f,f
98a701b8-0e25-4e63-a409-f9087c1156ad,message.eml,04596be5-9613-46f3-ba27-07db40bd14a9,100000003,100000003,,t,f,,,,message/rfc822,8991771,AAMkADM1YTE5NjY1LTFjMzUtNGRhOS05OWRiLWIxYzE4ZDgwYWRmZABGAAAAAABSUveaU7T_RbG2t5SsP_BPBwA7a94h2tqrRqU-oCTJH0ECAAAAAAEMAAA7a94h2tqrRqU-oCTJH0ECAANocrnTAAA_/message.eml,,auto-intake,,,2026-06-30 14:27:33.094697+00,2026-06-30 14:27:33.094697+00,f,f
24266940-9d99-4bb0-a3a4-9e225907fbeb,image090530.png,04748e90-c8da-4799-af6b-6a3a32e14b61,100000000,100000003,f,f,f,,,,image/png,32982,AAMkADA2ZDk3OWIwLTBmYzItNGZmZS04ZDg1LWI2MTkyNGU2YTU0MABGAAAAAAAMkWLYDoO4TZJNg5kN5lZNBwDui8m4J_0AR7UG5LtWTQ4wAAAAAAEMAADui8m4J_0AR7UG5LtWTQ4wAANqFCTtAAA_/image090530.png,,auto-intake,,,2026-07-08 08:41:06.230688+00,2026-07-08 08:41:06.230688+00,f,f
74f68dd4-cf74-49c5-9a5f-f8b82b997e34,image771667.png,04748e90-c8da-4799-af6b-6a3a32e14b61,100000000,100000003,f,f,t,Non-vehicle image (letterhead/signature furniture) — TKT-089 audit cleanup 2026-07-09,,,image/png,3032,AAMkADA2ZDk3OWIwLTBmYzItNGZmZS04ZDg1LWI2MTkyNGU2YTU0MABGAAAAAAAMkWLYDoO4TZJNg5kN5lZNBwDui8m4J_0AR7UG5LtWTQ4wAAAAAAEMAADui8m4J_0AR7UG5LtWTQ4wAANqFCTtAAA_/image771667.png,,auto-intake,,,2026-07-08 08:41:06.215084+00,2026-07-09 05:50:06.947473+00,f,f
506d295b-54c7-4138-8cef-afbb7453987d,image792504.png,04748e90-c8da-4799-af6b-6a3a32e14b61,100000000,100000003,f,f,f,,,,image/png,125048,AAMkADA2ZDk3OWIwLTBmYzItNGZmZS04ZDg1LWI2MTkyNGU2YTU0MABGAAAAAAAMkWLYDoO4TZJNg5kN5lZNBwDui8m4J_0AR7UG5LtWTQ4wAAAAAAEMAADui8m4J_0AR7UG5LtWTQ4wAANqFCTtAAA_/image792504.png,,auto-intake,,,2026-07-08 08:41:06.22238+00,2026-07-08 08:41:06.22238+00,f,f
